OrderDate,OrderNumber,Line Total
2022-02-23 00:00:00,SO - 000185,49023.9
2022-02-23 00:00:00,SO - 000186,25460
2022-02-24 00:00:00,SO - 000187,4455.5
2022-02-24 00:00:00,SO - 000188,27248.9
2022-02-24 00:00:00,SO - 000189,35577
2022-02-24 00:00:00,SO - 000190,8321.4
2022-02-24 00:00:00,SO - 000191,34304
2022-02-24 00:00:00,SO - 000192,9219.2
2022-02-24 00:00:00,SO - 000193,5427
2022-02-25 00:00:00,SO - 000194,25158.5
2022-02-25 00:00:00,SO - 000195,8736.8
2022-02-25 00:00:00,SO - 000196,1688.4
2022-02-25 00:00:00,SO - 000197,35938.8
2022-02-25 00:00:00,SO - 000198,27195.3
2022-02-25 00:00:00,SO - 000199,13266
2022-02-25 00:00:00,SO - 000200,19014.6
2022-02-25 00:00:00,SO - 000201,11899.2
2022-02-25 00:00:00,SO - 000202,37191.7
2022-02-25 00:00:00,SO - 000203,9581
2022-02-26 00:00:00,SO - 000204,15195.6
2022-02-26 00:00:00,SO - 000205,47328.8
2022-02-26 00:00:00,SO - 000206,20213.9
2022-02-26 00:00:00,SO - 000207,12991.3
2022-02-26 00:00:00,SO - 000208,1246.2
2022-02-26 00:00:00,SO - 000209,6351.6
2022-02-26 00:00:00,SO - 000210,9581
2022-02-26 00:00:00,SO - 000211,23939.1
2022-02-26 00:00:00,SO - 000212,26612.4
2022-02-27 00:00:00,SO - 000213,12006.4
2022-02-27 00:00:00,SO - 000214,23597.4
2022-02-27 00:00:00,SO - 000215,12730
2022-02-27 00:00:00,SO - 000216,4187.5
2022-02-27 00:00:00,SO - 000217,18090
2022-02-27 00:00:00,SO - 000218,4288
2022-02-27 00:00:00,SO - 000219,13989.6
2022-02-27 00:00:00,SO - 000220,12663
2022-02-27 00:00:00,SO - 000221,55643.5
2022-02-27 00:00:00,SO - 000222,9581
2022-02-27 00:00:00,SO - 000223,19825.3
2022-02-28 00:00:00,SO - 000224,69278
2022-02-28 00:00:00,SO - 000225,14994.6
2022-02-28 00:00:00,SO - 000226,6968
2022-02-28 00:00:00,SO - 000227,4502.4
2022-02-28 00:00:00,SO - 000228,3819
2022-02-28 00:00:00,SO - 000229,9286.2
2022-02-28 00:00:00,SO - 000230,1306.5
2022-02-28 00:00:00,SO - 000231,31999.2
2022-02-28 00:00:00,SO - 000232,7785.4
2022-02-28 00:00:00,SO - 000233,21064.8
2022-02-28 00:00:00,SO - 000234,5092
2022-02-28 00:00:00,SO - 000235,62631.6
2022-02-28 00:00:00,SO - 000236,43998.9
2022-03-01 00:00:00,SO - 000237,17219
2022-03-01 00:00:00,SO - 000238,6633
2022-03-01 00:00:00,SO - 000239,10974.6
2022-03-01 00:00:00,SO - 000240,5346.6
2022-03-01 00:00:00,SO - 000241,11738.4
2022-03-01 00:00:00,SO - 000242,35516.7
2022-03-01 00:00:00,SO - 000243,15597.6
2022-03-02 00:00:00,SO - 000244,29078
2022-03-02 00:00:00,SO - 000245,10921
2022-03-02 00:00:00,SO - 000246,7504
2022-03-02 00:00:00,SO - 000247,44220
2022-03-02 00:00:00,SO - 000248,8864.1
2022-03-02 00:00:00,SO - 000249,2733.6
2022-03-02 00:00:00,SO - 000250,43925.2
2022-03-02 00:00:00,SO - 000251,2211
2022-03-03 00:00:00,SO - 000252,30210.3
2022-03-03 00:00:00,SO - 000253,10210.8
2022-03-03 00:00:00,SO - 000254,12830.5
2022-03-03 00:00:00,SO - 000255,2653.2
2022-03-03 00:00:00,SO - 000256,16039.8
2022-03-03 00:00:00,SO - 000257,20033
2022-03-03 00:00:00,SO - 000258,26237.2
2022-03-03 00:00:00,SO - 000259,24542.1
2022-03-03 00:00:00,SO - 000260,7035
2022-03-03 00:00:00,SO - 000261,32320.8
2022-03-03 00:00:00,SO - 000262,8844
2022-03-04 00:00:00,SO - 000263,17185.5
2022-03-04 00:00:00,SO - 000264,8951.2
2022-03-04 00:00:00,SO - 000265,10385
2022-03-04 00:00:00,SO - 000266,37948.8
2022-03-04 00:00:00,SO - 000267,6030
2022-03-04 00:00:00,SO - 000268,12931
2022-03-04 00:00:00,SO - 000269,4221
2022-03-04 00:00:00,SO - 000270,1983.2
2022-03-04 00:00:00,SO - 000271,2090.4
2022-03-05 00:00:00,SO - 000272,9225.9
2022-03-05 00:00:00,SO - 000273,27617.4
2022-03-05 00:00:00,SO - 000274,1688.4
2022-03-05 00:00:00,SO - 000275,1742
2022-03-05 00:00:00,SO - 000276,17540.6
2022-03-05 00:00:00,SO - 000277,28595.6
2022-03-05 00:00:00,SO - 000278,27336
2022-03-06 00:00:00,SO - 000279,13105.2
2022-03-06 00:00:00,SO - 000280,10251
2022-03-06 00:00:00,SO - 000281,18425
2022-03-06 00:00:00,SO - 000282,7081.9
2022-03-06 00:00:00,SO - 000283,11256
2022-03-06 00:00:00,SO - 000284,25661
2022-03-07 00:00:00,SO - 000285,10452
2022-03-07 00:00:00,SO - 000286,22371.3
2022-03-07 00:00:00,SO - 000287,21105
2022-03-07 00:00:00,SO - 000288,13426.8
2022-03-07 00:00:00,SO - 000289,13976.2
2022-03-07 00:00:00,SO - 000290,4261.2
2022-03-07 00:00:00,SO - 000291,23878.8
2022-03-07 00:00:00,SO - 000292,6150.6
2022-03-07 00:00:00,SO - 000293,20153.6
2022-03-07 00:00:00,SO - 000294,40253.6
2022-03-08 00:00:00,SO - 000295,18291
2022-03-08 00:00:00,SO - 000296,11792
2022-03-08 00:00:00,SO - 000297,25393
2022-03-08 00:00:00,SO - 000298,31195.2
2022-03-09 00:00:00,SO - 000299,35315.7
2022-03-09 00:00:00,SO - 000300,11055
2022-03-09 00:00:00,SO - 000301,26826.8
2022-03-10 00:00:00,SO - 000302,20019.6
2022-03-10 00:00:00,SO - 000303,6592.8
2022-03-10 00:00:00,SO - 000304,20930.8
2022-03-10 00:00:00,SO - 000305,38250.3
2022-03-11 00:00:00,SO - 000306,25996
2022-03-11 00:00:00,SO - 000307,12944.4
2022-03-11 00:00:00,SO - 000308,11497.2
2022-03-11 00:00:00,SO - 000309,12381.6
2022-03-11 00:00:00,SO - 000310,13266
2022-03-11 00:00:00,SO - 000311,26063
2022-03-11 00:00:00,SO - 000312,1594.6
2022-03-11 00:00:00,SO - 000313,1340
2022-03-11 00:00:00,SO - 000314,6874.2
2022-03-11 00:00:00,SO - 000315,18197.2
2022-03-12 00:00:00,SO - 000316,19698
2022-03-12 00:00:00,SO - 000317,17286
2022-03-12 00:00:00,SO - 000318,30820
2022-03-12 00:00:00,SO - 000319,7973
2022-03-12 00:00:00,SO - 000320,20153.6
2022-03-12 00:00:00,SO - 000321,14311.2
2022-03-12 00:00:00,SO - 000322,26532
2022-03-12 00:00:00,SO - 000323,22311
2022-03-12 00:00:00,SO - 000324,19564
2022-03-12 00:00:00,SO - 000325,9708.3
2022-03-12 00:00:00,SO - 000326,13339.7
2022-03-12 00:00:00,SO - 000327,6847.4
2022-03-12 00:00:00,SO - 000328,1742
2022-03-12 00:00:00,SO - 000329,5628
2022-03-13 00:00:00,SO - 000330,8522.4
2022-03-13 00:00:00,SO - 000331,31141.6
2022-03-13 00:00:00,SO - 000332,1038.5
2022-03-13 00:00:00,SO - 000333,9487.2
2022-03-13 00:00:00,SO - 000334,28448.2
2022-03-13 00:00:00,SO - 000335,25795
2022-03-13 00:00:00,SO - 000336,51027.2
2022-03-13 00:00:00,SO - 000337,18049.8
2022-03-13 00:00:00,SO - 000338,14043.2
2022-03-13 00:00:00,SO - 000339,9112
2022-03-13 00:00:00,SO - 000340,43101.1
2022-03-13 00:00:00,SO - 000341,26773.2
2022-03-13 00:00:00,SO - 000342,22311
2022-03-14 00:00:00,SO - 000343,70309.8
2022-03-14 00:00:00,SO - 000344,9112
2022-03-14 00:00:00,SO - 000345,20689.6
2022-03-14 00:00:00,SO - 000346,19497
2022-03-14 00:00:00,SO - 000347,8562.6
2022-03-15 00:00:00,SO - 000348,50471.1
2022-03-15 00:00:00,SO - 000349,9326.4
2022-03-15 00:00:00,SO - 000350,23396.4
2022-03-15 00:00:00,SO - 000351,33165
2022-03-15 00:00:00,SO - 000352,21064.8
2022-03-15 00:00:00,SO - 000353,6432
2022-03-15 00:00:00,SO - 000354,35376
2022-03-15 00:00:00,SO - 000355,12013.1
2022-03-15 00:00:00,SO - 000356,15738.3
2022-03-15 00:00:00,SO - 000357,7128.8
2022-03-15 00:00:00,SO - 000358,15410
2022-03-15 00:00:00,SO - 000359,5628
2022-03-15 00:00:00,SO - 000360,11276.1
2022-03-16 00:00:00,SO - 000361,9212.5
2022-03-16 00:00:00,SO - 000362,10318
2022-03-16 00:00:00,SO - 000363,23852
2022-03-16 00:00:00,SO - 000364,14418.4
2022-03-16 00:00:00,SO - 000365,5092
2022-03-16 00:00:00,SO - 000366,39463
2022-03-16 00:00:00,SO - 000367,23718
2022-03-17 00:00:00,SO - 000368,50987
2022-03-17 00:00:00,SO - 000369,41345.7
2022-03-17 00:00:00,SO - 000370,4556
2022-03-17 00:00:00,SO - 000371,7236
2022-03-17 00:00:00,SO - 000372,9112
2022-03-17 00:00:00,SO - 000373,2278
2022-03-17 00:00:00,SO - 000374,1273
2022-03-17 00:00:00,SO - 000375,7517.4
2022-03-18 00:00:00,SO - 000376,27436.5
2022-03-18 00:00:00,SO - 000377,10921
2022-03-19 00:00:00,SO - 000378,10170.6
2022-03-19 00:00:00,SO - 000379,5092
2022-03-19 00:00:00,SO - 000380,8944.5
2022-03-19 00:00:00,SO - 000381,10391.7
2022-03-19 00:00:00,SO - 000382,23758.2
2022-03-19 00:00:00,SO - 000383,2010
2022-03-19 00:00:00,SO - 000384,30980.8
2022-03-19 00:00:00,SO - 000385,32696
2022-03-19 00:00:00,SO - 000386,6150.6
2022-03-19 00:00:00,SO - 000387,4690
2022-03-19 00:00:00,SO - 000388,11497.2
2022-03-19 00:00:00,SO - 000389,1507.5
2022-03-19 00:00:00,SO - 000390,8609.5
2022-03-20 00:00:00,SO - 000391,5413.6
2022-03-20 00:00:00,SO - 000392,2010
2022-03-20 00:00:00,SO - 000393,11189
2022-03-20 00:00:00,SO - 000394,6834
2022-03-20 00:00:00,SO - 000395,8743.5
2022-03-20 00:00:00,SO - 000396,19014.6
2022-03-20 00:00:00,SO - 000397,5561
2022-03-20 00:00:00,SO - 000398,26237.2
2022-03-20 00:00:00,SO - 000399,2653.2
2022-03-21 00:00:00,SO - 000400,34250.4
2022-03-21 00:00:00,SO - 000401,7269.5
2022-03-21 00:00:00,SO - 000402,27952.4
2022-03-21 00:00:00,SO - 000403,13024.8
2022-03-21 00:00:00,SO - 000404,42746
2022-03-21 00:00:00,SO - 000405,23919
2022-03-21 00:00:00,SO - 000406,9648
2022-03-22 00:00:00,SO - 000407,11055
2022-03-22 00:00:00,SO - 000408,30310.8
2022-03-22 00:00:00,SO - 000409,12823.8
2022-03-22 00:00:00,SO - 000410,43630.4
2022-03-22 00:00:00,SO - 000411,16220.7
2022-03-23 00:00:00,SO - 000412,8844
2022-03-23 00:00:00,SO - 000413,17004.6
2022-03-23 00:00:00,SO - 000414,6110.4
2022-03-23 00:00:00,SO - 000415,46390.8
2022-03-23 00:00:00,SO - 000416,9983
2022-03-23 00:00:00,SO - 000417,1527.6
2022-03-23 00:00:00,SO - 000418,4924.5
2022-03-23 00:00:00,SO - 000419,7644.7
2022-03-23 00:00:00,SO - 000420,8308
2022-03-23 00:00:00,SO - 000421,28783.2
2022-03-24 00:00:00,SO - 000422,5386.8
2022-03-24 00:00:00,SO - 000423,62551.2
2022-03-24 00:00:00,SO - 000424,1273
2022-03-24 00:00:00,SO - 000425,27483.4
2022-03-24 00:00:00,SO - 000426,8160.6
2022-03-24 00:00:00,SO - 000427,30873.6
2022-03-24 00:00:00,SO - 000428,837.5
2022-03-24 00:00:00,SO - 000429,15135.3
2022-03-24 00:00:00,SO - 000430,6472.2
2022-03-24 00:00:00,SO - 000431,35697.6
2022-03-24 00:00:00,SO - 000432,5628
2022-03-25 00:00:00,SO - 000433,15865.6
2022-03-25 00:00:00,SO - 000434,25862
2022-03-26 00:00:00,SO - 000435,36742.8
2022-03-26 00:00:00,SO - 000436,11570.9
2022-03-26 00:00:00,SO - 000437,2351.7
2022-03-26 00:00:00,SO - 000438,30719.5
2022-03-26 00:00:00,SO - 000439,22250.7
2022-03-26 00:00:00,SO - 000440,35034.3
2022-03-26 00:00:00,SO - 000441,9648
2022-03-26 00:00:00,SO - 000442,45988.8
2022-03-26 00:00:00,SO - 000443,5788.8
2022-03-26 00:00:00,SO - 000444,12307.9
2022-03-26 00:00:00,SO - 000445,1085.4
2022-03-26 00:00:00,SO - 000446,5909.4
2022-03-26 00:00:00,SO - 000447,20944.2
2022-03-27 00:00:00,SO - 000448,11122
2022-03-27 00:00:00,SO - 000449,7504
2022-03-27 00:00:00,SO - 000450,7550.9
2022-03-27 00:00:00,SO - 000451,48903.3
2022-03-27 00:00:00,SO - 000452,23436.6
2022-03-27 00:00:00,SO - 000453,12294.5
2022-03-27 00:00:00,SO - 000454,8897.6
2022-03-27 00:00:00,SO - 000455,6391.8
2022-03-27 00:00:00,SO - 000456,13038.2
2022-03-27 00:00:00,SO - 000457,16401.6
2022-03-27 00:00:00,SO - 000458,10653
2022-03-27 00:00:00,SO - 000459,29379.5
2022-03-27 00:00:00,SO - 000460,8643
2022-03-28 00:00:00,SO - 000461,19162
2022-03-28 00:00:00,SO - 000462,8200.8
2022-03-28 00:00:00,SO - 000463,18157
2022-03-28 00:00:00,SO - 000464,19195.5
2022-03-28 00:00:00,SO - 000465,12127
2022-03-28 00:00:00,SO - 000466,19329.5
2022-03-28 00:00:00,SO - 000467,21225.6
2022-03-28 00:00:00,SO - 000468,6941.2
2022-03-28 00:00:00,SO - 000469,20100
2022-03-29 00:00:00,SO - 000470,28743
2022-03-29 00:00:00,SO - 000471,40052.6
2022-03-29 00:00:00,SO - 000472,21225.6
2022-03-29 00:00:00,SO - 000473,13031.5
2022-03-29 00:00:00,SO - 000474,24522
2022-03-29 00:00:00,SO - 000475,11577.6
2022-03-30 00:00:00,SO - 000476,12381.6
2022-03-30 00:00:00,SO - 000477,9433.6
2022-03-30 00:00:00,SO - 000478,35154.9
2022-03-30 00:00:00,SO - 000479,5393.5
2022-03-30 00:00:00,SO - 000480,29185.2
2022-03-30 00:00:00,SO - 000481,6706.7
2022-03-31 00:00:00,SO - 000482,5185.8
2022-03-31 00:00:00,SO - 000483,10371.6
2022-03-31 00:00:00,SO - 000484,4455.5
2022-03-31 00:00:00,SO - 000485,23878.8
2022-03-31 00:00:00,SO - 000486,4187.5
2022-03-31 00:00:00,SO - 000487,20863.8
2022-03-31 00:00:00,SO - 000488,12756.8
2022-03-31 00:00:00,SO - 000489,6994.8
2022-03-31 00:00:00,SO - 000490,1641.5
2022-04-01 00:00:00,SO - 000491,26974.2
2022-04-01 00:00:00,SO - 000492,2874.3
2022-04-01 00:00:00,SO - 000493,10318
2022-04-01 00:00:00,SO - 000494,24656
2022-04-01 00:00:00,SO - 000495,70457.2
2022-04-01 00:00:00,SO - 000496,12756.8
2022-04-01 00:00:00,SO - 000497,14076.7
2022-04-01 00:00:00,SO - 000498,19664.5
2022-04-01 00:00:00,SO - 000499,1809
2022-04-01 00:00:00,SO - 000500,35516.7
2022-04-02 00:00:00,SO - 000501,22914
2022-04-02 00:00:00,SO - 000502,12060
2022-04-02 00:00:00,SO - 000503,11577.6
2022-04-02 00:00:00,SO - 000504,17969.4
2022-04-02 00:00:00,SO - 000505,10452
2022-04-02 00:00:00,SO - 000506,46551.6
2022-04-02 00:00:00,SO - 000507,71716.8
2022-04-02 00:00:00,SO - 000508,18063.2
2022-04-03 00:00:00,SO - 000509,2412
2022-04-03 00:00:00,SO - 000510,11899.2
2022-04-03 00:00:00,SO - 000511,23517
2022-04-03 00:00:00,SO - 000512,2170.8
2022-04-03 00:00:00,SO - 000513,43409.3
2022-04-03 00:00:00,SO - 000514,27764.8
2022-04-03 00:00:00,SO - 000515,12803.7
2022-04-03 00:00:00,SO - 000516,32803.2
2022-04-03 00:00:00,SO - 000517,7597.8
2022-04-04 00:00:00,SO - 000518,37386
2022-04-04 00:00:00,SO - 000519,11591
2022-04-04 00:00:00,SO - 000520,23798.4
2022-04-04 00:00:00,SO - 000521,5527.5
2022-04-04 00:00:00,SO - 000522,9004.8
2022-04-04 00:00:00,SO - 000523,9875.8
2022-04-04 00:00:00,SO - 000524,1038.5
2022-04-04 00:00:00,SO - 000525,39597
2022-04-05 00:00:00,SO - 000526,10532.4
2022-04-05 00:00:00,SO - 000527,21011.2
2022-04-05 00:00:00,SO - 000528,7222.6
2022-04-05 00:00:00,SO - 000529,39664
2022-04-05 00:00:00,SO - 000530,10090.2
2022-04-05 00:00:00,SO - 000531,7035
2022-04-05 00:00:00,SO - 000532,3584.5
2022-04-05 00:00:00,SO - 000533,38793
2022-04-05 00:00:00,SO - 000534,2653.2
2022-04-05 00:00:00,SO - 000535,11577.6
2022-04-05 00:00:00,SO - 000536,47436
2022-04-06 00:00:00,SO - 000537,19939.2
2022-04-06 00:00:00,SO - 000538,1206
2022-04-06 00:00:00,SO - 000539,5708.4
2022-04-06 00:00:00,SO - 000540,62176
2022-04-06 00:00:00,SO - 000541,14110.2
2022-04-06 00:00:00,SO - 000542,7926.1
2022-04-06 00:00:00,SO - 000543,6874.2
2022-04-06 00:00:00,SO - 000544,22351.2
2022-04-06 00:00:00,SO - 000545,10391.7
2022-04-06 00:00:00,SO - 000546,10974.6
2022-04-06 00:00:00,SO - 000547,11570.9
2022-04-06 00:00:00,SO - 000548,2077
2022-04-06 00:00:00,SO - 000549,14900.8
2022-04-06 00:00:00,SO - 000550,22672.8
2022-04-06 00:00:00,SO - 000551,15919.2
2022-04-06 00:00:00,SO - 000552,35577
2022-04-06 00:00:00,SO - 000553,2733.6
2022-04-07 00:00:00,SO - 000554,46551.6
2022-04-07 00:00:00,SO - 000555,5226
2022-04-07 00:00:00,SO - 000556,60862.8
2022-04-07 00:00:00,SO - 000557,1929.6
2022-04-07 00:00:00,SO - 000558,13788.6
2022-04-07 00:00:00,SO - 000559,46149.6
2022-04-07 00:00:00,SO - 000560,19403.2
2022-04-08 00:00:00,SO - 000561,8442
2022-04-08 00:00:00,SO - 000562,1326.6
2022-04-08 00:00:00,SO - 000563,34431.3
2022-04-08 00:00:00,SO - 000564,4288
2022-04-08 00:00:00,SO - 000565,38257
2022-04-08 00:00:00,SO - 000566,15972.8
2022-04-08 00:00:00,SO - 000567,1876
2022-04-08 00:00:00,SO - 000568,15168.8
2022-04-09 00:00:00,SO - 000569,1038.5
2022-04-09 00:00:00,SO - 000570,1842.5
2022-04-09 00:00:00,SO - 000571,39865
2022-04-09 00:00:00,SO - 000572,17822
2022-04-09 00:00:00,SO - 000573,7778.7
2022-04-09 00:00:00,SO - 000574,9380
2022-04-09 00:00:00,SO - 000575,1735.3
2022-04-09 00:00:00,SO - 000576,30310.8
2022-04-09 00:00:00,SO - 000577,5058.5
2022-04-09 00:00:00,SO - 000578,16763.4
2022-04-09 00:00:00,SO - 000579,9969.6
2022-04-10 00:00:00,SO - 000580,11818.8
2022-04-10 00:00:00,SO - 000581,29580.5
2022-04-10 00:00:00,SO - 000582,46189.8
2022-04-10 00:00:00,SO - 000583,8951.2
2022-04-10 00:00:00,SO - 000584,64192.7
2022-04-10 00:00:00,SO - 000585,54330.3
2022-04-10 00:00:00,SO - 000586,8254.4
2022-04-10 00:00:00,SO - 000587,59563
2022-04-10 00:00:00,SO - 000588,23597.4
2022-04-10 00:00:00,SO - 000589,35335.8
2022-04-10 00:00:00,SO - 000590,17212.3
2022-04-10 00:00:00,SO - 000591,23476.8
2022-04-11 00:00:00,SO - 000592,28341
2022-04-11 00:00:00,SO - 000593,44380.8
2022-04-12 00:00:00,SO - 000594,2010
2022-04-12 00:00:00,SO - 000595,2231.1
2022-04-12 00:00:00,SO - 000596,23155.2
2022-04-12 00:00:00,SO - 000597,54873
2022-04-12 00:00:00,SO - 000598,19899
2022-04-13 00:00:00,SO - 000599,16837.1
2022-04-13 00:00:00,SO - 000600,6324.8
2022-04-13 00:00:00,SO - 000601,22418.2
2022-04-13 00:00:00,SO - 000602,12703.2
2022-04-13 00:00:00,SO - 000603,15919.2
2022-04-13 00:00:00,SO - 000604,6800.5
2022-04-13 00:00:00,SO - 000605,4690
2022-04-13 00:00:00,SO - 000606,8622.9
2022-04-13 00:00:00,SO - 000607,29640.8
2022-04-14 00:00:00,SO - 000608,12301.2
2022-04-14 00:00:00,SO - 000609,15557.4
2022-04-14 00:00:00,SO - 000610,42524.9
2022-04-14 00:00:00,SO - 000611,33808.2
2022-04-14 00:00:00,SO - 000612,9715
2022-04-15 00:00:00,SO - 000613,11570.9
2022-04-15 00:00:00,SO - 000614,5259.5
2022-04-15 00:00:00,SO - 000615,13668
2022-04-15 00:00:00,SO - 000616,40943.7
2022-04-15 00:00:00,SO - 000617,22646
2022-04-15 00:00:00,SO - 000618,10130.4
2022-04-15 00:00:00,SO - 000619,8629.6
2022-04-15 00:00:00,SO - 000620,26458.3
2022-04-15 00:00:00,SO - 000621,7504
2022-04-16 00:00:00,SO - 000622,63897.9
2022-04-16 00:00:00,SO - 000623,31409.6
2022-04-16 00:00:00,SO - 000624,2211
2022-04-16 00:00:00,SO - 000625,9413.5
2022-04-16 00:00:00,SO - 000626,20260.8
2022-04-16 00:00:00,SO - 000627,1246.2
2022-04-16 00:00:00,SO - 000628,2170.8
2022-04-16 00:00:00,SO - 000629,8066.8
2022-04-17 00:00:00,SO - 000630,27155.1
2022-04-17 00:00:00,SO - 000631,27061.3
2022-04-17 00:00:00,SO - 000632,14686.4
2022-04-17 00:00:00,SO - 000633,1172.5
2022-04-17 00:00:00,SO - 000634,3785.5
2022-04-17 00:00:00,SO - 000635,10050
2022-04-18 00:00:00,SO - 000636,63918
2022-04-18 00:00:00,SO - 000637,13701.5
2022-04-18 00:00:00,SO - 000638,4623
2022-04-18 00:00:00,SO - 000639,11349.8
2022-04-18 00:00:00,SO - 000640,13185.6
2022-04-18 00:00:00,SO - 000641,5661.5
2022-04-18 00:00:00,SO - 000642,14793.6
2022-04-18 00:00:00,SO - 000643,7035
2022-04-19 00:00:00,SO - 000644,11215.8
2022-04-19 00:00:00,SO - 000645,5125.5
2022-04-19 00:00:00,SO - 000646,20930.8
2022-04-19 00:00:00,SO - 000647,29908.8
2022-04-19 00:00:00,SO - 000648,13976.2
2022-04-19 00:00:00,SO - 000649,13989.6
2022-04-19 00:00:00,SO - 000650,5393.5
2022-04-19 00:00:00,SO - 000651,17889
2022-04-19 00:00:00,SO - 000652,2170.8
2022-04-19 00:00:00,SO - 000653,13909.2
2022-04-19 00:00:00,SO - 000654,11570.9
2022-04-19 00:00:00,SO - 000655,41787.9
2022-04-19 00:00:00,SO - 000656,43114.5
2022-04-19 00:00:00,SO - 000657,11189
2022-04-19 00:00:00,SO - 000658,5594.5
2022-04-19 00:00:00,SO - 000659,48843
2022-04-19 00:00:00,SO - 000660,18626
2022-04-19 00:00:00,SO - 000661,938
2022-04-19 00:00:00,SO - 000662,19999.5
2022-04-19 00:00:00,SO - 000663,10686.5
2022-04-19 00:00:00,SO - 000664,11189
2022-04-20 00:00:00,SO - 000665,10371.6
2022-04-20 00:00:00,SO - 000666,63603.1
2022-04-20 00:00:00,SO - 000667,5427
2022-04-20 00:00:00,SO - 000668,1487.4
2022-04-20 00:00:00,SO - 000669,17085
2022-04-20 00:00:00,SO - 000670,11323
2022-04-20 00:00:00,SO - 000671,8877.5
2022-04-20 00:00:00,SO - 000672,15222.4
2022-04-21 00:00:00,SO - 000673,47704
